general_success;Successfully saved!
general_remove_success;Successfully deleted
general_noentrysfound;No Entrys found
general_saving_error;There was an error during saving!
view_language;Language
view_showEvent;Show all events
view_newEvent;Create new event
view_all;All
view_allTweets;view all tweets
event_search;Search 
event_title;Title
event_from;From
event_to;To
event_description;Description
view_management;Management
view_seeTweets;See Tweets
menu_events;Events
event_save;Save
status_startCollection;Collection started
status_endCollection;Collection finished
status_collection_in_progress;Collection in progress
status_analysis;Analysis
event_id;Event-Id
event_tw_count;Tweet counts
event_tweet_tags;Tags
event_state;Status
tag_id;Status-Id
tag_name;Name
tweet_id;Tweet-Id
tweet_entries;Tweets
tweet_choose_event;Choose Event
tw_text;Tweet-text
tw_creationdate;Tweet creation
tw_user;Tweet-User
tw_location;Tweet-location
tw_language;Tweet-language
tw_deleted;Tweet deleted
tw_weight;Tweet weight
filter_id;Filter-Id
fi_description;Filter-description
fi_consider_tweet;Filter-consider Tweet
ignore_tweet;Ignore Tweet
time_start;Time start
time_end;Time end
sent_id;Sent Id
sent_text;Sent text
sent_weight;Sent weight
view_help;Help
tweet_date;Date
general_cancel;Cancel
event_edit;edit event
event_deactivate;deactivate event
filter_tags;Tweet tags
filter_from;Tweet from
filter_to;Tweet to
filter_location;Tweet location
filter_language;Tweet language
event_id;Event
filter_edit;edit filter
view_newFilter;New
view_startAnalysis;Start analysis
nav_header;Management
nav_index;Index
nav_map;Map
nav_statistics;Statistics
